,name_1,grass_area,volume,estimated_volume,difference,auto_pct,difference_pct,wasted_tl,start_read_date,end_read_date
269,ATA PARK,6052.0,450,177,273,0.0,154.23728813559322,5460,2022-05-05,2022-06-06
271,RAUF DENKTAŞ,5562.0,2779,1947,832,100.0,42.732408834103744,16640,2019-11-02,2020-08-04
272,RAUF DENKTAŞ,5562.0,1355,934,421,100.0,45.07494646680942,8420,2016-07-30,2016-08-29
275,NEJAT UYGUR,1470.0,338,239,99,0.0,41.42259414225941,1980,2020-09-04,2020-10-05
279,BERFO ANA,11200.0,3534,2124,1410,0.0,66.38418079096046,28200,2018-06-22,2018-07-24
280,RAUF DENKTAŞ,5562.0,2477,1649,828,100.0,50.212249848392965,16560,2020-11-04,2021-08-03
282,NEJAT UYGUR,1470.0,786,356,430,0.0,120.78651685393258,8600,2017-06-23,2017-07-27
283,BERFO ANA,11200.0,2352,1948,404,0.0,20.739219712525667,8080,2016-07-30,2016-08-31
284,YUNUS EMRE,4847.0,7655,2238,5417,50.0,242.04647006255584,108340,2020-11-05,2021-08-31
285,İSMET İNÖNÜ,9088.0,921,911,10,100.0,1.0976948408342482,200,2021-10-04,2022-06-06
287,SÜLEYMAN TÜRKOĞLU,1919.0,217,190,27,100.0,14.210526315789473,540,2017-05-26,2017-06-28
288,NEŞET ERTAŞ,3160.0,2474,632,1842,90.0,291.45569620253167,36840,2020-10-06,2021-06-30
291,SEMA YAZAR,2850.0,406,240,166,70.0,69.16666666666667,3320,2020-11-05,2021-06-28
292,ATA PARK,6052.0,1201,1139,62,0.0,5.443371378402107,1240,2023-07-07,2023-08-04
293,YUNUS EMRE,4847.0,1414,1072,342,50.0,31.902985074626866,6840,2017-06-28,2017-07-28
294,KEMAL SUNAL,1600.0,761,330,431,100.0,130.60606060606062,8620,2020-07-03,2020-08-04
295,NEŞET ERTAŞ,3160.0,188,0,188,90.0,0.0,3760,2017-03-28,2017-04-26
297,NEŞET ERTAŞ,3160.0,1956,698,1258,90.0,180.22922636103152,25160,2017-08-28,2017-09-30
