subscription,district,name,address,volume,price,start_read_date,end_read_date
1445846,ÇANKAYA,SABAHATTİN SAĞIROĞLU PARK,GÜMÜŞ CAD,166.0,574.17,2016-06-30,2016-08-03
674158,ÇANKAYA,KARDELEN PARKI,2168 SK,208.0,838.64,2017-08-26,2017-10-02
1071417,ÇANKAYA,UKRAYN A PODİL PARKI,596 SK,2.0,9.39,2018-05-21,2018-06-23
1070588,ÇANKAYA,CENGİZ HAN PARKI,TİFLİS CAD,612.0,5089.43,2022-08-04,2022-09-06
2997656,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH. MÜD.,993 SK,983.0,3273.39,2020-08-05,2020-09-08
2246438,ÇANKAYA,MUHARREM KALELİ PARKI,1072 CAD,247.0,851.2,2016-06-01,2016-06-27
1071417,ÇANKAYA,UKRAYN A PODİL PARKI,596 SK,9.0,92.5,2023-03-06,2023-05-04
1446958,ÇANKAYA,MECLİS PARKI,HAVUZLU SK,306.0,1358.64,2015-08-05,2015-09-04
1071026,ÇANKAYA,İLKBAHAR PARKI,İLKBAHAR SK,103.0,449.92,2015-02-28,2015-08-06
1071417,ÇANKAYA,UKRAYN A PODİL PARKI,596 SK,87.0,914.53,2023-06-05,2023-07-08
1445599,ÇANKAYA,PARK,MUSTAFA ABDÜLCEMİL KIRIMOĞLU CAD,12.0,56.53,2018-05-25,2018-06-26
1445846,ÇANKAYA,SABAHATTİN SAĞIROĞLU PARK,GÜMÜŞ CAD,542.0,1897.0,2021-09-03,2021-09-30
2246468,ÇANKAYA,MALTEPE PARKI,ŞEHİT GÖNENÇ SK,1255.0,5429.24,2015-03-03,2015-06-03
1446354,ÇANKAYA,MUSTAF A SARI PARKI,350 SK,2.0,6.66,2020-11-03,2021-06-28
674148,ÇANKAYA,ŞH.AHMET ERKAN DOĞAN PARK,2139 CAD,30.0,132.85,2015-06-02,2015-07-01
1446292,ÇANKAYA,HİLAL PARKI,677 CAD,16.0,79.73,2018-07-26,2018-09-04
1445329,ÇANKAYA,MALAZGİRT PARKIU,ERSEGÜN VİLLALARI KOP 102/1 PARSEL,367.0,4445.34,2023-08-04,2023-09-07
332052,ÇANKAYA,BAHÇELİ-2 PARKI,70 SK,8.0,62.73,2022-06-30,2022-08-03
2246317,ÇANKAYA,ŞH.PİL .TAHSİN BARUTÇU PAR,ÖĞRETMENLER CAD,366.0,1218.78,2020-08-05,2020-09-02
1447019,ÇANKAYA,ALTIN ÇOCUK 1,2432 CAD,243.0,972.48,2017-07-26,2017-08-25
1446911,ÇANKAYA,EROL GÜNAYDIN PARKI,3441 SK,1024.0,5098.71,2018-07-25,2018-09-01
669969,ÇANKAYA,KIRLANGIÇ PARKI,1392 CAD,135.0,605.92,2015-09-02,2015-10-01
556470,ÇANKAYA,PARK,BAFRA SK,2.0,6.94,2016-08-29,2016-10-03
667832,ÇANKAYA,KUTLUGÜN ÇOCUK PARKI,KUTLUGÜN SK,43.0,149.14,2016-07-30,2016-08-27
1446912,ÇANKAYA,TÜRKAN SAYLAN PARKI,1428 SK,392.0,1305.36,2019-11-05,2020-06-04
1446925,ÇANKAYA,FUSUN SAYEK PARKI,HASAN CELAL GÜZEL CAD,1106.0,4297.61,2015-09-02,2016-04-30
